Date,Open,High,Low,Close,Adj Close,Volume
2006-09-25,157.330002,157.330002,156.639999,156.639999,156.639999,0
2006-09-26,156.639999,156.639999,155.729996,155.729996,155.729996,0
2006-09-27,155.729996,155.949997,155.729996,155.949997,155.949997,0
2006-09-28,155.949997,156.089996,155.949997,156.089996,156.089996,0
2006-09-29,156.089996,156.089996,155.589996,155.589996,155.589996,0
2006-10-02,155.589996,155.589996,155.589996,155.589996,155.589996,0
2006-10-03,155.589996,155.589996,155.589996,155.589996,155.589996,0
2006-10-04,155.580002,155.580002,155.580002,155.580002,155.580002,0
2006-10-05,155.580002,156.149994,155.580002,156.149994,156.149994,0
2006-10-06,156.149994,156.149994,155.669998,155.669998,155.669998,0
2006-10-09,155.669998,155.669998,154.740005,154.740005,154.740005,0
2006-10-10,154.740005,154.740005,154.509995,154.509995,154.509995,0
2006-10-11,153.979996,153.979996,153.979996,153.979996,153.979996,0
2006-10-12,153.979996,153.979996,153.570007,153.570007,153.570007,0
2006-10-13,153.570007,153.869995,153.570007,153.869995,153.869995,0
2006-10-16,153.529999,153.529999,153.529999,153.529999,153.529999,0
2006-10-17,153.529999,153.649994,153.529999,153.649994,153.649994,0
2006-10-18,153.649994,153.820007,153.649994,153.820007,153.820007,0
2006-10-19,153.820007,154.089996,153.820007,154.089996,154.089996,0
2006-10-20,154.089996,154.979996,154.089996,154.979996,154.979996,0
2006-10-23,154.979996,154.979996,153.970001,153.970001,153.970001,0
2006-10-24,153.970001,153.970001,153.770004,153.770004,153.770004,0
2006-10-25,154.190002,154.190002,154.190002,154.190002,154.190002,0
2006-10-26,154.190002,155.429993,154.190002,155.429993,155.429993,0
2006-10-27,155.429993,155.490005,155.429993,155.490005,155.490005,0
2006-10-30,155.490005,156.309998,155.490005,156.309998,156.309998,0
2006-10-31,156.309998,156.309998,155.759995,155.759995,155.759995,0
2006-11-01,155.759995,156.580002,155.759995,156.580002,156.580002,0
2006-11-02,156.720001,156.720001,156.720001,156.720001,156.720001,0
2006-11-03,156.720001,156.720001,156.630005,156.630005,156.630005,0
2006-11-06,156.630005,156.630005,155.830002,155.830002,155.830002,0
2006-11-07,155.830002,156.449997,155.830002,156.449997,156.449997,0
2006-11-08,157.149994,157.149994,157.149994,157.149994,157.149994,0
2006-11-09,157.149994,157.149994,156.970001,156.970001,156.970001,0
2006-11-10,156.970001,158.250000,156.970001,158.250000,158.250000,0
2006-11-13,158.250000,158.250000,157.690002,157.690002,157.690002,0
2006-11-14,157.690002,157.690002,157.490005,157.490005,157.490005,0
2006-11-15,157.490005,157.490005,157.080002,157.080002,157.080002,0
2006-11-16,157.080002,157.289993,157.080002,157.289993,157.289993,0
2006-11-17,157.289993,157.289993,156.460007,156.460007,156.460007,0
2006-11-20,156.460007,160.789993,156.460007,160.789993,160.789993,0
2006-11-21,160.789993,160.789993,157.660004,157.660004,157.660004,0
2006-11-22,157.660004,157.800003,157.660004,157.800003,157.800003,0
2006-11-23,157.660004,158.830002,157.660004,158.830002,158.830002,0
2006-11-24,158.830002,160.839996,158.830002,160.839996,160.839996,0
2006-11-27,160.839996,161.220001,160.839996,161.220001,161.220001,0
2006-11-28,161.220001,161.220001,161.190002,161.190002,161.190002,0
2006-11-29,161.190002,161.729996,161.190002,161.729996,161.729996,0
2006-11-30,161.729996,162.179993,161.729996,162.179993,162.179993,0
2006-12-01,162.179993,162.800003,162.179993,162.800003,162.800003,0
2006-12-04,162.800003,163.770004,162.800003,163.770004,163.770004,0
2006-12-05,163.770004,163.940002,163.770004,163.940002,163.940002,0
2006-12-06,163.940002,163.940002,163.389999,163.389999,163.389999,0
2006-12-07,163.389999,163.520004,163.389999,163.520004,163.520004,0
2006-12-08,163.520004,163.520004,163.460007,163.460007,163.460007,0
2006-12-11,163.460007,163.460007,162.059998,162.059998,162.059998,0
2006-12-12,162.059998,162.820007,162.059998,162.820007,162.820007,0
2006-12-13,162.820007,163.289993,162.820007,163.289993,163.289993,0
2006-12-14,163.289993,163.289993,162.119995,162.119995,162.119995,0
2006-12-15,162.119995,162.119995,161.130005,161.130005,161.130005,0
2006-12-18,161.130005,161.130005,160.990005,160.990005,160.990005,0
2006-12-19,160.990005,161.860001,160.990005,161.860001,161.860001,0
2006-12-20,161.860001,162.580002,161.860001,162.580002,162.580002,0
2006-12-21,162.580002,162.580002,162.479996,162.479996,162.479996,0
2006-12-22,162.479996,162.589996,162.479996,162.589996,162.589996,0
2006-12-25,162.589996,162.589996,162.589996,162.589996,162.589996,0
2006-12-26,162.589996,162.589996,162.589996,162.589996,162.589996,0
2006-12-27,162.589996,162.589996,162.229996,162.229996,162.229996,0
2006-12-28,162.229996,162.229996,162.009995,162.009995,162.009995,0
2006-12-29,162.720001,162.720001,162.720001,162.720001,162.720001,0
2007-01-01,162.720001,162.720001,162.720001,162.720001,162.720001,0
2007-01-02,163.960007,163.960007,163.960007,163.960007,163.960007,0
